epoch	step	loss	box	slot	tag	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	perplex	n_keys	pos_rms	q_rate	k_rate	logit_sd	box_mass	box_mass_x	sec
0	1633	8.3399	2.5589	5.5454	0.4713	0.1250	0.2047	0.9997	0.2142	0.3965	0.0807	0.0053	0.0000	0.0833	0.1307	4761.04	6000	0.01631	0.2979	0.3560	0.597	0.02097	1.0439	176
1	3266	7.4075	2.1224	5.0991	0.3719	0.2135	0.2237	0.9980	0.2026	0.3561	0.0675	0.0035	0.0000	0.0767	0.1261	4586.53	6000	0.01713	0.3162	0.3371	0.649	0.02302	1.1664	348
2	4899	7.1647	2.0442	4.9438	0.3536	0.2354	0.2527	0.9950	0.2224	0.3763	0.0991	0.0061	0.0000	0.0779	0.1433	4490.88	6000	0.02056	0.3371	0.3354	0.703	0.02292	1.1570	522
3	6532	7.0024	1.9959	4.8345	0.3440	0.2489	0.2599	0.9906	0.2270	0.4088	0.1254	0.0053	0.0000	0.0781	0.1445	4481.42	6000	0.02117	0.3390	0.3483	0.718	0.02332	1.1732	696
4	8165	6.8839	1.9770	4.7369	0.3401	0.2553	0.2796	0.9848	0.2278	0.4044	0.1053	0.0026	0.0018	0.0773	0.1502	4562.27	6000	0.02341	0.3315	0.3297	0.671	0.02320	1.1660	869
5	9798	6.7113	1.9270	4.6163	0.3361	0.2703	0.2841	0.9777	0.2323	0.4096	0.1175	0.0035	0.0000	0.0803	0.1510	4527.27	6000	0.02649	0.3391	0.3342	0.692	0.02364	1.1854	1042
6	11431	6.5723	1.8974	4.5100	0.3299	0.2785	0.2972	0.9693	0.2293	0.4167	0.1114	0.0070	0.0000	0.0751	0.1466	4518.78	6000	0.03046	0.3490	0.3221	0.696	0.02440	1.2138	1218
7	13064	6.4261	1.8682	4.3928	0.3301	0.2865	0.3089	0.9596	0.2240	0.4096	0.1158	0.0026	0.0000	0.0741	0.1501	4532.04	6000	0.03290	0.3439	0.3140	0.675	0.02419	1.2045	1391
8	14697	6.2950	1.8436	4.2884	0.3259	0.2946	0.2733	0.9486	0.2101	0.3842	0.1132	0.0044	0.0000	0.0692	0.1389	4513.29	6000	0.03508	0.3471	0.3316	0.701	0.02468	1.2243	1567
9	16330	6.1557	1.8074	4.1848	0.3269	0.3046	0.3307	0.9363	0.2382	0.4263	0.1272	0.0096	0.0000	0.0758	0.1592	4567.28	6000	0.03703	0.3528	0.3238	0.680	0.02455	1.2197	1739
10	17963	6.0280	1.7761	4.0883	0.3272	0.3136	0.3381	0.9229	0.2347	0.4298	0.1175	0.0061	0.0000	0.0740	0.1520	4501.13	6000	0.03964	0.3579	0.3192	0.694	0.02405	1.1981	1913
11	19596	5.8857	1.7249	3.9975	0.3266	0.3295	0.3666	0.9083	0.2387	0.4404	0.1289	0.0096	0.0009	0.0713	0.1606	4541.21	6000	0.04358	0.3545	0.3201	0.684	0.02431	1.2065	2088
12	21229	5.7537	1.6902	3.8997	0.3275	0.3399	0.3729	0.8925	0.2151	0.3974	0.1123	0.0053	0.0000	0.0692	0.1428	4582.57	6000	0.04566	0.3568	0.3171	0.668	0.02426	1.2014	2263
13	22862	5.6311	1.6552	3.8130	0.3258	0.3502	0.4044	0.8757	0.2296	0.4167	0.1351	0.0061	0.0000	0.0690	0.1581	4527.54	6000	0.04692	0.3627	0.3097	0.681	0.02438	1.2039	2436
14	24495	5.5205	1.6212	3.7359	0.3267	0.3609	0.3932	0.8578	0.2095	0.3781	0.1184	0.0070	0.0000	0.0634	0.1515	4536.14	6000	0.05048	0.3615	0.3097	0.677	0.02478	1.2178	2608
15	26128	5.3800	1.5829	3.6343	0.3257	0.3734	0.4310	0.8389	0.2322	0.4132	0.1325	0.0123	0.0000	0.0753	0.1563	4566.01	6000	0.05152	0.3597	0.3060	0.664	0.02511	1.2327	2781
16	27761	5.2575	1.5389	3.5555	0.3261	0.3871	0.4543	0.8191	0.2213	0.3991	0.1351	0.0096	0.0009	0.0681	0.1592	4635.21	6000	0.05395	0.3573	0.3112	0.643	0.02431	1.1995	2957
17	29394	5.1375	1.4937	3.4796	0.3284	0.4016	0.4461	0.7984	0.2218	0.4026	0.1289	0.0114	0.0000	0.0645	0.1594	4534.94	6000	0.05406	0.3708	0.2927	0.662	0.02516	1.2331	3133
18	31027	5.0164	1.4587	3.3939	0.3275	0.4136	0.4676	0.7769	0.2179	0.3965	0.1149	0.0096	0.0000	0.0681	0.1528	4569.04	6000	0.05704	0.3692	0.2975	0.655	0.02505	1.2316	3308
19	32660	4.8999	1.4220	3.3141	0.3276	0.4259	0.4821	0.7547	0.2188	0.3956	0.1325	0.0140	0.0000	0.0627	0.1566	4539.61	6000	0.06017	0.3703	0.2981	0.667	0.02453	1.2048	3484
20	34293	4.7826	1.3841	3.2355	0.3261	0.4378	0.5023	0.7317	0.2233	0.4061	0.1509	0.0140	0.0000	0.0660	0.1569	4549.16	6000	0.06302	0.3714	0.3055	0.669	0.02513	1.2320	3657
21	35926	4.6733	1.3516	3.1579	0.3276	0.4492	0.5101	0.7080	0.2196	0.3921	0.1272	0.0140	0.0018	0.0670	0.1527	4566.58	6000	0.06635	0.3659	0.3099	0.669	0.02490	1.2230	3832
22	37559	4.5579	1.3145	3.0798	0.3274	0.4613	0.5280	0.6838	0.2154	0.3833	0.1289	0.0114	0.0018	0.0603	0.1535	4535.58	6000	0.06485	0.3738	0.3015	0.674	0.02466	1.2120	4006
23	39192	4.4506	1.2797	3.0068	0.3284	0.4736	0.5525	0.6591	0.2170	0.3912	0.1360	0.0061	0.0000	0.0612	0.1576	4571.15	6000	0.06728	0.3741	0.3062	0.665	0.02451	1.2044	4181
24	40825	4.3261	1.2359	2.9267	0.3271	0.4892	0.5526	0.6340	0.2077	0.3684	0.1342	0.0079	0.0000	0.0626	0.1468	4588.73	6000	0.06995	0.3681	0.3044	0.657	0.02536	1.2413	4355
25	42458	4.2379	1.2156	2.8588	0.3270	0.4959	0.5622	0.6084	0.2104	0.3781	0.1316	0.0149	0.0000	0.0591	0.1519	4596.13	6000	0.06931	0.3680	0.3010	0.650	0.02562	1.2527	4528
26	44091	4.1190	1.1718	2.7838	0.3266	0.5112	0.5663	0.5826	0.2033	0.3675	0.1079	0.0096	0.0000	0.0601	0.1393	4587.78	6000	0.07066	0.3694	0.2930	0.646	0.02551	1.2419	4704
27	45724	4.0216	1.1467	2.7122	0.3254	0.5204	0.5873	0.5566	0.2007	0.3614	0.1114	0.0079	0.0000	0.0579	0.1465	4598.47	6000	0.07284	0.3703	0.3018	0.651	0.02500	1.2209	4880
28	47357	3.9080	1.1016	2.6435	0.3258	0.5369	0.5992	0.5303	0.2130	0.3816	0.1289	0.0105	0.0000	0.0632	0.1492	4550.54	6000	0.07518	0.3793	0.3015	0.667	0.02578	1.2631	5055
29	48990	3.8130	1.0745	2.5758	0.3255	0.5468	0.6308	0.5040	0.2043	0.3746	0.1132	0.0088	0.0000	0.0587	0.1491	4572.10	6000	0.07753	0.3779	0.2984	0.657	0.02526	1.2310	5232
30	50623	3.7131	1.0429	2.5084	0.3237	0.5586	0.6178	0.4777	0.1991	0.3482	0.1184	0.0123	0.0000	0.0629	0.1359	4579.13	6000	0.07936	0.3742	0.2950	0.653	0.02560	1.2471	5406
31	52256	3.6401	1.0197	2.4586	0.3237	0.5678	0.6238	0.4515	0.1960	0.3421	0.1070	0.0123	0.0000	0.0585	0.1385	4562.06	6000	0.07898	0.3820	0.2881	0.652	0.02597	1.2615	5581
