epoch	train_loss	train_acc	test_acc	sec
0	1.1668	0.6105	0.7580	93
1	0.6498	0.7880	0.8000	146
2	0.4655	0.8480	0.8140	188
3	0.3359	0.8918	0.8240	157
4	0.2593	0.9130	0.8220	93
5	0.1948	0.9351	0.8250	93
6	0.1396	0.9553	0.8370	125
7	0.0969	0.9677	0.8290	188
8	0.0886	0.9710	0.8240	179
9	0.0600	0.9800	0.8110	94
10	0.0480	0.9859	0.8350	93
11	0.0507	0.9843	0.8350	93
12	0.0430	0.9863	0.8450	93
13	0.0281	0.9911	0.8300	93
14	0.0310	0.9911	0.8270	93
15	0.0181	0.9949	0.8400	93
16	0.0182	0.9939	0.8310	110
17	0.0167	0.9947	0.8320	188
18	0.0133	0.9958	0.8460	188
19	0.0092	0.9973	0.8430	188
20	0.0083	0.9968	0.8520	188
21	0.0051	0.9983	0.8520	188
22	0.0043	0.9986	0.8500	127
23	0.0043	0.9988	0.8550	93
