epoch	step	loss	box	cls	dfl	lr	mAP@0.5	mAP@0.75	train_mAP@0.5	gap	sec
0	554	9.1922	0.3940	6.8656	1.8696	0.9999	0.0728	0.0173	0.0769	0.0041	206
1	1108	6.3696	0.2743	4.5825	1.3473	0.9992	0.1039	0.0427	0.1178	0.0139	412
2	1662	5.6142	0.2442	3.9039	1.2206	0.9976	0.1366	0.0561	0.1917	0.0552	618
3	2216	5.1532	0.2247	3.5132	1.1410	0.9953	0.1503	0.0732	0.2318	0.0815	824
4	2770	4.8486	0.2127	3.2175	1.0963	0.9923	0.2063	0.1075	0.3836	0.1773	1030
5	3324	4.6686	0.2056	3.0516	1.0670	0.9884	0.2510	0.1055	0.4327	0.1817	1236
6	3878	4.4478	0.1966	2.8608	1.0288	0.9838	0.3438	0.1458	0.5507	0.2069	1441
7	4432	4.3055	0.1919	2.7069	1.0087	0.9784	0.3097	0.1370	0.5946	0.2849	1646
8	4986	4.1619	0.1862	2.5763	0.9850	0.9723	0.3222	0.1264	0.5460	0.2238	1852
9	5540	4.0682	0.1816	2.4831	0.9766	0.9655	0.3420	0.1569	0.5970	0.2550	2056
10	6094	3.9755	0.1781	2.4072	0.9573	0.9579	0.3631	0.1488	0.7511	0.3880	2261
11	6648	3.9021	0.1744	2.3495	0.9462	0.9496	0.4123	0.1852	0.7153	0.3030	2466
12	7202	3.7715	0.1690	2.2279	0.9266	0.9406	0.3967	0.1764	0.7783	0.3816	2708
13	7756	3.7083	0.1667	2.1601	0.9189	0.9309	0.3656	0.1820	0.8201	0.4545	2913
14	8310	3.6440	0.1635	2.1138	0.9073	0.9205	0.4172	0.2082	0.8563	0.4391	3117
15	8864	3.6096	0.1618	2.0930	0.8998	0.9095	0.4347	0.2097	0.8241	0.3895	3323
16	9418	3.5129	0.1577	2.0143	0.8820	0.8978	0.4279	0.2070	0.8017	0.3739	3528
17	9972	3.5118	0.1578	1.9930	0.8878	0.8856	0.4842	0.2569	0.8839	0.3997	3734
18	10526	3.4305	0.1537	1.9350	0.8734	0.8727	0.4327	0.2047	0.8441	0.4114	3939
19	11080	3.4242	0.1534	1.9280	0.8729	0.8592	0.3957	0.2052	0.8543	0.4586	4144
20	11634	3.3647	0.1512	1.8855	0.8586	0.8452	0.4386	0.2328	0.8582	0.4196	4349
21	12188	3.3126	0.1479	1.8520	0.8517	0.8306	0.4656	0.2418	0.8841	0.4185	4553
22	12742	3.2538	0.1456	1.7936	0.8431	0.8155	0.4651	0.2204	0.8918	0.4267	4758
23	13296	3.2464	0.1450	1.7961	0.8406	0.8000	0.4522	0.2463	0.9052	0.4529	4964
24	13850	3.1745	0.1419	1.7349	0.8286	0.7839	0.4803	0.2442	0.9162	0.4359	5168
25	14404	3.1557	0.1409	1.7234	0.8246	0.7674	0.4169	0.2060	0.9214	0.5045	5373
26	14958	3.1008	0.1383	1.6684	0.8198	0.7505	0.4133	0.2511	0.8948	0.4815	5578
27	15512	3.0863	0.1378	1.6601	0.8152	0.7332	0.4783	0.2975	0.9365	0.4582	5783
28	16066	3.0280	0.1350	1.6078	0.8079	0.7155	0.4794	0.2514	0.9392	0.4598	5988
29	16620	3.0081	0.1342	1.5977	0.8021	0.6975	0.4473	0.2341	0.9238	0.4766	6192
30	17174	2.9789	0.1322	1.5849	0.7966	0.6792	0.4568	0.2869	0.9499	0.4931	6396
31	17728	2.9544	0.1306	1.5732	0.7923	0.6606	0.4535	0.2331	0.9602	0.5067	6601
32	18282	2.9234	0.1294	1.5426	0.7878	0.6418	0.4632	0.2679	0.9445	0.4813	6806
33	18836	2.8707	0.1270	1.5026	0.7782	0.6227	0.4575	0.2632	0.9442	0.4867	7011
34	19390	2.8654	0.1264	1.5017	0.7777	0.6035	0.4741	0.2439	0.9434	0.4693	7216
35	19944	2.8450	0.1255	1.4945	0.7711	0.5841	0.4482	0.2601	0.9574	0.5091	7420
36	20498	2.8280	0.1247	1.4789	0.7688	0.5645	0.4350	0.2839	0.9538	0.5188	7625
37	21052	2.7513	0.1206	1.4140	0.7597	0.5449	0.4965	0.2878	0.9531	0.4566	7829
38	21606	2.7406	0.1203	1.4102	0.7556	0.5251	0.4436	0.2603	0.9477	0.5041	8034
39	22160	2.7267	0.1196	1.3999	0.7533	0.5054	0.4373	0.2656	0.9259	0.4886	8238
40	22714	2.7119	0.1189	1.3763	0.7547	0.4856	0.4817	0.2915	0.9649	0.4832	8443
41	23268	2.6779	0.1175	1.3583	0.7452	0.4659	0.4637	0.2848	0.9755	0.5118	8647
42	23822	2.6655	0.1160	1.3580	0.7445	0.4462	0.5011	0.3029	0.9855	0.4844	8852
43	24376	2.6524	0.1155	1.3438	0.7428	0.4266	0.4598	0.2987	0.9710	0.5111	9057
44	24930	2.6198	0.1141	1.3258	0.7340	0.4071	0.5104	0.2956	0.9781	0.4677	9261
45	25484	2.5964	0.1125	1.3112	0.7314	0.3877	0.5088	0.2956	0.9660	0.4571	9466
