epoch	step	loss	box	cls	dfl	lr	mAP@0.5	mAP@0.75	sec
0	554	8.4596	0.3626	6.0721	1.8028	0.9997	0.0853	0.0251	200
1	1108	5.4285	0.2341	3.6601	1.2285	0.9966	0.1732	0.0797	400
2	1662	4.4985	0.1934	2.9009	1.0653	0.9905	0.1880	0.0967	599
3	2216	3.9610	0.1701	2.4523	0.9725	0.9812	0.2803	0.1436	799
4	2770	3.5878	0.1536	2.1433	0.9095	0.9689	0.2951	0.1696	999
5	3324	3.3172	0.1413	1.9292	0.8621	0.9536	0.3278	0.1678	1199
6	3878	3.1065	0.1319	1.7609	0.8244	0.9354	0.3228	0.1897	1398
7	4432	2.9165	0.1236	1.5953	0.7946	0.9144	0.3575	0.1922	1597
8	4986	2.7482	0.1158	1.4545	0.7682	0.8909	0.3592	0.2171	1797
9	5540	2.6001	0.1087	1.3428	0.7425	0.8648	0.3877	0.2106	1997
10	6094	2.4759	0.1032	1.2376	0.7223	0.8365	0.3681	0.2105	2196
11	6648	2.3704	0.0978	1.1586	0.7053	0.8060	0.3729	0.2301	2396
12	7202	2.2620	0.0926	1.0741	0.6869	0.7736	0.3931	0.2367	2595
13	7756	2.1641	0.0875	1.0026	0.6711	0.7395	0.3953	0.2537	2795
14	8310	2.0818	0.0835	0.9350	0.6587	0.7038	0.3986	0.2476	2995
15	8864	2.0149	0.0800	0.8860	0.6478	0.6668	0.3883	0.2543	3194
16	9418	1.9362	0.0756	0.8353	0.6345	0.6288	0.3828	0.2409	3393
17	9972	1.8695	0.0717	0.7889	0.6248	0.5900	0.4060	0.2473	3592
18	10526	1.8140	0.0685	0.7549	0.6154	0.5506	0.4233	0.2737	3792
19	11080	1.7573	0.0652	0.7158	0.6067	0.5108	0.4255	0.2927	3991
20	11634	1.7064	0.0620	0.6857	0.5991	0.4711	0.4158	0.2936	4191
21	12188	1.6572	0.0588	0.6573	0.5915	0.4314	0.4049	0.2725	4390
22	12742	1.6132	0.0559	0.6339	0.5847	0.3923	0.4387	0.3155	4589
23	13296	1.5798	0.0540	0.6110	0.5797	0.3538	0.4503	0.3254	4789
24	13850	1.5356	0.0508	0.5879	0.5736	0.3162	0.4474	0.2992	4989
25	14404	1.4969	0.0483	0.5636	0.5685	0.2798	0.4563	0.3144	5188
26	14958	1.4682	0.0462	0.5490	0.5648	0.2448	0.4369	0.3117	5388
27	15512	1.4369	0.0441	0.5297	0.5609	0.2114	0.4532	0.3314	5587
28	16066	1.4067	0.0419	0.5134	0.5570	0.1799	0.4519	0.3221	5786
29	16620	1.3823	0.0402	0.4985	0.5542	0.1503	0.4524	0.3146	5986
30	17174	1.3608	0.0386	0.4872	0.5516	0.1230	0.4604	0.3481	6186
31	17728	1.3387	0.0371	0.4747	0.5488	0.0981	0.4558	0.3319	6385
32	18282	1.3252	0.0360	0.4681	0.5474	0.0757	0.4576	0.3325	6585
33	18836	1.3121	0.0350	0.4585	0.5466	0.0560	0.4483	0.3331	6784
34	19390	1.2997	0.0341	0.4529	0.5452	0.0391	0.4603	0.3450	6983
35	19944	1.2871	0.0333	0.4448	0.5435	0.0252	0.4628	0.3384	7182
36	20498	1.2830	0.0329	0.4421	0.5437	0.0142	0.4616	0.3375	7382
37	21052	1.2807	0.0327	0.4409	0.5434	0.0063	0.4856	0.3496	7581
38	21606	1.2775	0.0324	0.4381	0.5435	0.0016	0.4786	0.3502	7782
39	22160	1.2750	0.0323	0.4373	0.5429	0.0000	0.4625	0.3400	7981
