epoch	step	loss	box	cls	dfl	lr	mAP@0.5	mAP@0.75	train_mAP@0.5	gap	sec
0	554	8.4754	0.3703	5.9779	1.8063	1.0000	0.0935	0.0273	0.1608	0.0673	203
1	1108	5.3404	0.2341	3.5973	1.1904	0.9999	0.1551	0.0746	0.2965	0.1414	405
2	1662	4.4015	0.1920	2.8308	1.0307	0.9998	0.1995	0.1225	0.3066	0.1071	608
3	2216	3.8888	0.1689	2.4071	0.9457	0.9997	0.2223	0.1259	0.4824	0.2601	810
4	2770	3.5367	0.1523	2.1339	0.8849	0.9995	0.2862	0.1630	0.6847	0.3985	1013
5	3324	3.2680	0.1405	1.9031	0.8416	0.9992	0.3369	0.1685	0.7585	0.4216	1216
6	3878	3.0466	0.1306	1.7158	0.8062	0.9989	0.3610	0.2305	0.7856	0.4247	1418
7	4432	2.8950	0.1230	1.6041	0.7804	0.9985	0.3462	0.2115	0.8500	0.5038	1621
8	4986	2.7223	0.1156	1.4508	0.7532	0.9980	0.3224	0.1970	0.8683	0.5460	1823
9	5540	2.6043	0.1101	1.3531	0.7349	0.9975	0.3473	0.2085	0.9163	0.5690	2025
10	6094	2.4930	0.1047	1.2702	0.7152	0.9970	0.3475	0.2015	0.8873	0.5398	2226
11	6648	2.3952	0.1002	1.1846	0.7008	0.9964	0.3285	0.2106	0.9327	0.6042	2436
12	7202	2.3142	0.0962	1.1219	0.6877	0.9957	0.3821	0.2261	0.9743	0.5922	2638
13	7756	2.2385	0.0928	1.0583	0.6756	0.9950	0.3596	0.2279	0.9220	0.5624	2840
14	8310	2.1680	0.0892	1.0032	0.6650	0.9943	0.3654	0.2075	0.9732	0.6079	3042
