epoch	step	loss	box	slot	tag	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	perplex	n_keys	pos_rms	q_rate	k_rate	logit_sd	box_mass	box_mass_x	sec
0	1633	9.7246	2.3964	5.3846	0.8779	0.1672	0.3074	1.0000	0.2958	0.5289	0.1982	0.0202	0.0000	0.1051	0.1627	25.61	6000	0.50000	0.4713	0.4317	3.743	0.52760	50.7467	826
1	3266	7.5882	1.7276	4.7426	0.4903	0.3384	0.4218	0.9998	0.3799	0.6474	0.3763	0.0825	0.0026	0.1272	0.2243	20.74	6000	0.50000	0.4747	0.4096	3.720	0.60702	57.4020	1652
2	4899	7.0123	1.5429	4.5176	0.4617	0.3999	0.4586	0.9996	0.4041	0.6667	0.4272	0.1035	0.0044	0.1196	0.2579	19.96	6000	0.50000	0.4702	0.4247	3.624	0.62909	59.1094	2479
3	6532	6.6422	1.4261	4.3649	0.4499	0.4401	0.5149	0.9992	0.4215	0.6772	0.4719	0.1237	0.0079	0.1210	0.2772	21.67	6000	0.50000	0.4702	0.4174	3.682	0.63962	61.4103	3306
4	8165	6.3019	1.3228	4.2148	0.4355	0.4752	0.5421	0.9986	0.4427	0.7079	0.4991	0.1509	0.0096	0.1192	0.2962	17.99	6000	0.50000	0.4750	0.3963	3.360	0.65329	61.8843	4134
5	9798	6.0124	1.2317	4.0766	0.4286	0.5081	0.5566	0.9980	0.4265	0.6807	0.4658	0.1544	0.0123	0.1188	0.2858	16.49	6000	0.50000	0.4802	0.4144	3.724	0.64394	62.0974	4961
6	11431	5.7641	1.1693	3.9436	0.4150	0.5306	0.6048	0.9972	0.4683	0.7333	0.5377	0.1816	0.0114	0.1239	0.3176	14.67	6000	0.50000	0.4775	0.4170	3.685	0.67390	63.9448	5788
7	13064	5.5443	1.1100	3.8297	0.4069	0.5512	0.6139	0.9963	0.4571	0.7167	0.5298	0.1763	0.0114	0.1142	0.3225	16.38	6000	0.50000	0.4760	0.4211	3.724	0.66272	62.0199	6616
8	14697	5.3220	1.0482	3.7158	0.4032	0.5734	0.6104	0.9953	0.4358	0.6737	0.5000	0.1781	0.0140	0.1135	0.2891	15.29	6000	0.50000	0.4846	0.4122	3.861	0.64225	61.7570	7442
9	16330	5.1302	0.9995	3.5975	0.3955	0.5920	0.6558	0.9942	0.4626	0.7044	0.5325	0.2018	0.0193	0.1072	0.3270	13.75	6000	0.50000	0.4842	0.3994	3.552	0.66474	63.8823	8269
