epoch	step	loss	l1	ciou	train_iou	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	sec
0	2878	2.6443	0.0956	1.0833	0.1199	1.0000	0.1575	0.2758	0.0458	0.0000	0.0000	0.1561	0.0014	505
1	5756	2.4648	0.0826	1.0259	0.1652	0.9999	0.1742	0.3122	0.0915	0.0070	0.0000	0.1727	0.0014	1008
2	8634	2.3607	0.0773	0.9872	0.1944	0.9998	0.1616	0.2899	0.0798	0.0047	0.0000	0.1580	0.0036	1511
3	11512	2.2941	0.0744	0.9611	0.2142	0.9996	0.1694	0.3040	0.0986	0.0082	0.0000	0.1668	0.0026	2015
4	14390	2.2349	0.0716	0.9384	0.2307	0.9994	0.1863	0.3122	0.1502	0.0246	0.0012	0.1862	0.0001	2518
5	17268	2.1866	0.0695	0.9195	0.2450	0.9991	0.1768	0.3181	0.1056	0.0117	0.0012	0.1740	0.0029	3023
6	20146	2.1483	0.0678	0.9046	0.2574	0.9987	0.1840	0.3134	0.1467	0.0129	0.0000	0.1821	0.0020	3528
7	23024	2.1070	0.0662	0.8881	0.2710	0.9983	0.1851	0.3275	0.1444	0.0106	0.0000	0.1847	0.0004	4033
8	25902	2.0701	0.0647	0.8734	0.2824	0.9979	0.1790	0.3251	0.1221	0.0094	0.0000	0.1818	-0.0028	4537
9	28780	2.0459	0.0641	0.8627	0.2914	0.9974	0.1976	0.3404	0.1561	0.0223	0.0000	0.1943	0.0033	5040
10	31658	2.0173	0.0628	0.8515	0.3003	0.9968	0.1942	0.3310	0.1514	0.0293	0.0012	0.1959	-0.0017	5546
11	34536	1.9999	0.0621	0.8446	0.3067	0.9962	0.1922	0.3380	0.1432	0.0305	0.0012	0.1918	0.0005	6053
12	37414	1.9775	0.0614	0.8353	0.3141	0.9955	0.1917	0.3169	0.1596	0.0211	0.0000	0.1927	-0.0010	6558
13	40292	1.9629	0.0608	0.8295	0.3186	0.9948	0.1905	0.3392	0.1502	0.0164	0.0000	0.1909	-0.0004	7066
14	43170	1.9374	0.0598	0.8192	0.3281	0.9940	0.1947	0.3451	0.1573	0.0258	0.0000	0.1964	-0.0016	7573
15	46048	1.9263	0.0598	0.8136	0.3328	0.9931	0.1937	0.3298	0.1526	0.0282	0.0000	0.1943	-0.0006	8081
16	48926	1.9112	0.0591	0.8079	0.3376	0.9922	0.2031	0.3439	0.1714	0.0376	0.0000	0.2007	0.0024	8588
17	51804	1.8947	0.0584	0.8012	0.3434	0.9913	0.1982	0.3286	0.1819	0.0364	0.0000	0.2002	-0.0020	9094
18	54682	1.8832	0.0580	0.7965	0.3480	0.9903	0.1954	0.3380	0.1596	0.0246	0.0000	0.1976	-0.0022	9599
19	57560	1.8709	0.0578	0.7909	0.3524	0.9893	0.1985	0.3333	0.1761	0.0387	0.0035	0.2001	-0.0016	10102
20	60438	1.8576	0.0573	0.7857	0.3572	0.9881	0.1977	0.3322	0.1631	0.0399	0.0012	0.2009	-0.0031	10606
21	63316	1.8473	0.0570	0.7810	0.3607	0.9870	0.1878	0.3192	0.1573	0.0399	0.0000	0.1885	-0.0007	11109
