step	epoch	loss	l1	ciou	train_iou	lr	mIoU	Acc@0.5	Acc@0.75	sec
250	0	2.9094	0.1320	1.1247	0.0623	0.8333	0.0793	0.0016	0.0000	606
500	0	2.5930	0.0909	1.0692	0.1346	0.9967	0.1411	0.0548	0.0000	1214
750	0	2.4616	0.0839	1.0211	0.1761	0.9834	0.1595	0.0861	0.0047	1823
1000	0	2.4508	0.0806	1.0239	0.1737	0.9600	0.1540	0.0657	0.0110	2432
1250	0	2.3985	0.0788	1.0022	0.1900	0.9272	0.1697	0.1127	0.0094	3039
1500	0	2.3799	0.0799	0.9902	0.1980	0.8855	0.1791	0.0923	0.0094	3647
1750	0	2.3104	0.0735	0.9714	0.2147	0.8358	0.1874	0.1268	0.0172	4255
2000	0	2.3230	0.0743	0.9757	0.2109	0.7792	0.1781	0.1095	0.0063	4862
2250	0	2.2878	0.0741	0.9586	0.2230	0.7168	0.1840	0.1221	0.0094	5469
2500	0	2.2684	0.0735	0.9505	0.2357	0.6500	0.1935	0.1362	0.0156	6076
2750	0	2.2242	0.0719	0.9324	0.2446	0.5800	0.1924	0.1534	0.0110	6685
3000	1	2.2312	0.0722	0.9350	0.2424	0.5083	0.2085	0.1628	0.0203	7293
3250	1	2.1679	0.0689	0.9118	0.2628	0.4365	0.2101	0.1628	0.0329	7901
3500	1	2.1608	0.0702	0.9050	0.2694	0.3661	0.2100	0.1643	0.0376	8509
3750	1	2.0662	0.0657	0.8688	0.2937	0.2983	0.2109	0.1768	0.0360	9117
4000	1	2.1194	0.0682	0.8892	0.2832	0.2348	0.2148	0.1862	0.0407	9725
4250	1	2.1101	0.0696	0.8810	0.2946	0.1767	0.2260	0.1909	0.0548	10334
4500	1	2.0590	0.0657	0.8653	0.3013	0.1253	0.2172	0.1737	0.0391	10942
4750	1	2.0820	0.0694	0.8676	0.3010	0.0817	0.2259	0.1987	0.0516	11549
5000	1	2.0693	0.0668	0.8676	0.3016	0.0468	0.2272	0.1941	0.0438	12157
5250	1	2.0825	0.0681	0.8710	0.3028	0.0212	0.2162	0.1878	0.0360	12764
5500	1	2.0559	0.0666	0.8614	0.3130	0.0055	0.2262	0.1956	0.0626	13371
5750	1	2.0933	0.0678	0.8772	0.2998	0.0000	0.2276	0.2050	0.0626	13979
5756	1	2.3035	0.0803	0.9510	0.2437	0.0000	0.2226	0.1941	0.0642	14060
