epoch	step	loss	l1	ciou	train_iou	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	sec
0	5756	2.348	0.0755	0.9854	0.165	0.1927	0.3545	0.0622	0.0059	0.0000	0.1577	0.0349	1278
1	11512	2.064	0.0581	0.8868	0.229	0.2169	0.3815	0.1068	0.0059	0.0000	0.1624	0.0545	2556
2	17268	1.900	0.0502	0.8248	0.274	0.2642	0.4894	0.1678	0.0188	0.0000	0.1916	0.0725	3834
3	23024	1.791	0.0452	0.7824	0.308	0.2578	0.4742	0.1690	0.0153	0.0012	0.1824	0.0754	5112
4	28780	1.719	0.0420	0.7543	0.331	0.2565	0.4718	0.1714	0.0141	0.0000	0.1864	0.0701	6390
5	34536	1.665	0.0402	0.7320	0.349	0.2803	0.4953	0.2160	0.0258	0.0000	0.2061	0.0741	7668
6	40292	1.589	0.0372	0.7017	0.372	0.2955	0.5223	0.2523	0.0411	0.0023	0.2011	0.0944	8946
7	46048	1.539	0.0355	0.6810	0.389	0.2740	0.4965	0.2089	0.0258	0.0035	0.1867	0.0872	10224
8	51804	1.492	0.0337	0.6617	0.404	0.2859	0.5000	0.2242	0.0423	0.0000	0.2058	0.0800	11502
9	57560	1.453	0.0325	0.6451	0.418	0.2893	0.5117	0.2347	0.0434	0.0012	0.1956	0.0936	12780
10	63316	1.408	0.0311	0.6263	0.432	0.2962	0.5258	0.2465	0.0458	0.0012	0.1987	0.0975	14058
11	69072	1.367	0.0297	0.6093	0.446	0.3015	0.5399	0.2535	0.0340	0.0012	0.2023	0.0992	15336
12	74828	1.335	0.0286	0.5959	0.457	0.2972	0.5235	0.2570	0.0446	0.0012	0.2026	0.0946	16614
13	80584	1.302	0.0276	0.5818	0.469	0.2957	0.5329	0.2383	0.0340	0.0000	0.2039	0.0918	17892
14	86340	1.271	0.0267	0.5690	0.479	0.3171	0.5552	0.2817	0.0552	0.0012	0.2120	0.1051	19164
15	92096	1.241	0.0257	0.5561	0.490	0.3193	0.5540	0.2829	0.0423	0.0012	0.2155	0.1038	20442
16	97852	1.210	0.0250	0.5425	0.502	0.3111	0.5411	0.2782	0.0505	0.0012	0.2075	0.1036	21720
17	103608	1.187	0.0243	0.5326	0.510	0.3251	0.5599	0.3005	0.0552	0.0000	0.2228	0.1023	22998
18	109364	1.156	0.0233	0.5196	0.521	0.3267	0.5739	0.2911	0.0575	0.0012	0.2137	0.1130	24276
19	115120	1.133	0.0228	0.5096	0.530	0.3180	0.5575	0.2817	0.0587	0.0012	0.2148	0.1032	25554
20	120876	1.109	0.0222	0.4990	0.539	0.3257	0.5622	0.2852	0.0552	0.0023	0.2151	0.1105	26832
21	126632	1.085	0.0214	0.4888	0.547	0.3218	0.5528	0.2911	0.0458	0.0059	0.2196	0.1022	28110
22	132388	1.064	0.0209	0.4799	0.555	0.3254	0.5634	0.3040	0.0622	0.0035	0.2210	0.1044	29388
23	138144	1.038	0.0203	0.4679	0.565	0.3294	0.5775	0.2934	0.0669	0.0047	0.2149	0.1145	30666
24	143900	1.018	0.0198	0.4596	0.572	0.3347	0.5833	0.3110	0.0610	0.0047	0.2270	0.1078	31944
25	149656	1.001	0.0194	0.4520	0.579	0.3350	0.5798	0.2993	0.0728	0.0035	0.2191	0.1158	33222
26	155412	0.983	0.0189	0.4442	0.586	0.3234	0.5646	0.2923	0.0563	0.0023	0.2082	0.1152	34500
27	161168	0.965	0.0185	0.4364	0.593	0.3424	0.5904	0.3228	0.0634	0.0035	0.2301	0.1123	35778
28	166924	0.950	0.0181	0.4297	0.598	0.3309	0.5587	0.3146	0.0634	0.0047	0.2123	0.1186	37056
29	172680	0.933	0.0177	0.4220	0.605	0.3383	0.5810	0.3134	0.0704	0.0023	0.2239	0.1144	38334
30	178436	0.919	0.0174	0.4161	0.610	0.3384	0.5869	0.3275	0.0646	0.0012	0.2222	0.1163	39612
31	184192	0.906	0.0171	0.4102	0.615	0.3400	0.5974	0.3099	0.0669	0.0070	0.2216	0.1183	40890
32	189948	0.898	0.0169	0.4065	0.619	0.3455	0.6009	0.3075	0.0739	0.0047	0.2254	0.1201	42168
33	195704	0.884	0.0167	0.4004	0.624	0.3390	0.5833	0.3192	0.0716	0.0023	0.2221	0.1169	43446
34	201460	0.879	0.0165	0.3980	0.626	0.3376	0.5869	0.3052	0.0751	0.0023	0.2281	0.1094	44724
35	207216	0.872	0.0164	0.3949	0.629	0.3381	0.5751	0.3122	0.0681	0.0000	0.2232	0.1148	45996
36	212972	0.866	0.0163	0.3921	0.632	0.3425	0.5763	0.3286	0.0810	0.0035	0.2219	0.1206	47274
37	218728	0.867	0.0163	0.3929	0.631	0.3435	0.5927	0.3239	0.0646	0.0035	0.2224	0.1210	48552
38	224484	0.861	0.0162	0.3899	0.634	0.3406	0.5810	0.3146	0.0775	0.0047	0.2245	0.1161	49830
39	230240	0.860	0.0162	0.3896	0.634	0.3373	0.5704	0.3157	0.0739	0.0047	0.2202	0.1170	51108
