epoch	step	loss	l1	ciou	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	sec
0	10	2.5919	0.1723	0.8651	0.2220	0.2217	0.1000	0.1925	0.3134	0.0547	0.0000	0.0000	0.1880	0.0001	5
1	20	2.5703	0.1679	0.8654	0.2216	0.2202	0.2000	0.1885	0.3184	0.0697	0.0000	0.0000	0.1840	0.0001	10
2	30	2.5388	0.1599	0.8696	0.2176	0.2130	0.3000	0.1828	0.3134	0.0846	0.0000	0.0000	0.1784	0.0002	14
3	40	2.5204	0.1553	0.8719	0.2151	0.2168	0.4000	0.1830	0.3234	0.0796	0.0000	0.0000	0.1781	0.0006	19
4	50	2.4885	0.1540	0.8592	0.2259	0.2287	0.5000	0.1868	0.3134	0.0746	0.0000	0.0000	0.1813	0.0012	24
5	60	2.4218	0.1457	0.8466	0.2400	0.2476	0.6000	0.1831	0.3085	0.0796	0.0000	0.0000	0.1758	0.0031	29
6	70	2.3535	0.1350	0.8392	0.2501	0.2597	0.7000	0.1897	0.3234	0.0995	0.0050	0.0000	0.1791	0.0062	33
7	80	2.3282	0.1341	0.8288	0.2563	0.2700	0.8000	0.1829	0.3134	0.0796	0.0000	0.0000	0.1764	0.0022	38
8	90	2.2941	0.1293	0.8237	0.2653	0.2730	0.9000	0.1843	0.3184	0.1045	0.0050	0.0000	0.1764	0.0039	43
9	100	2.2143	0.1156	0.8182	0.2722	0.2582	1.0000	0.1503	0.2637	0.0498	0.0100	0.0000	0.1450	0.0024	48
10	110	2.2201	0.1156	0.8212	0.2706	0.2858	0.9999	0.1747	0.3035	0.0796	0.0000	0.0000	0.1688	0.0022	53
11	120	2.2065	0.1170	0.8107	0.2808	0.2865	0.9998	0.1766	0.3035	0.0896	0.0000	0.0000	0.1694	0.0034	57
12	130	2.1407	0.1063	0.8045	0.2848	0.2981	0.9994	0.1798	0.3035	0.0945	0.0000	0.0000	0.1732	0.0021	62
13	140	2.1332	0.1096	0.7925	0.2965	0.3056	0.9990	0.1866	0.3284	0.0896	0.0000	0.0000	0.1761	0.0068	67
14	150	2.0906	0.1034	0.7867	0.3010	0.3051	0.9984	0.1721	0.2886	0.0796	0.0000	0.0000	0.1596	0.0094	72
15	160	2.0637	0.1015	0.7782	0.3071	0.3102	0.9976	0.1788	0.2985	0.0846	0.0050	0.0000	0.1588	0.0169	77
16	170	2.0691	0.1023	0.7787	0.3057	0.3162	0.9967	0.1795	0.2985	0.0796	0.0000	0.0000	0.1596	0.0165	82
17	180	2.0351	0.0980	0.7726	0.3134	0.3232	0.9957	0.1822	0.3184	0.0796	0.0000	0.0000	0.1661	0.0132	86
18	190	2.0060	0.0972	0.7599	0.3233	0.3130	0.9946	0.1801	0.3134	0.0796	0.0000	0.0000	0.1571	0.0204	91
19	200	1.9891	0.0920	0.7645	0.3209	0.3362	0.9933	0.1914	0.3532	0.0746	0.0000	0.0000	0.1696	0.0188	96
20	210	1.9684	0.0926	0.7527	0.3306	0.3235	0.9919	0.1700	0.2687	0.0597	0.0000	0.0000	0.1517	0.0159	101
21	220	1.9657	0.0899	0.7580	0.3263	0.3390	0.9904	0.1819	0.2886	0.0846	0.0000	0.0000	0.1612	0.0174	106
22	230	1.9772	0.0981	0.7433	0.3375	0.3368	0.9887	0.1732	0.2886	0.0746	0.0050	0.0000	0.1535	0.0171	111
23	240	1.9602	0.0912	0.7522	0.3306	0.3401	0.9869	0.1796	0.2935	0.0846	0.0050	0.0000	0.1570	0.0200	116
24	250	1.9356	0.0888	0.7458	0.3373	0.3381	0.9849	0.1703	0.2687	0.0697	0.0050	0.0000	0.1482	0.0195	121
25	260	1.9242	0.0872	0.7440	0.3399	0.3426	0.9828	0.1674	0.2687	0.0597	0.0050	0.0000	0.1462	0.0187	126
26	270	1.9216	0.0861	0.7455	0.3374	0.3506	0.9806	0.1743	0.2786	0.0796	0.0050	0.0000	0.1535	0.0186	130
27	280	1.9345	0.0933	0.7340	0.3468	0.3448	0.9783	0.1766	0.2935	0.0647	0.0050	0.0000	0.1546	0.0196	135
28	290	1.9379	0.0879	0.7492	0.3338	0.3530	0.9758	0.1853	0.3085	0.0796	0.0050	0.0000	0.1659	0.0161	140
29	300	1.9122	0.0865	0.7399	0.3432	0.3465	0.9732	0.1775	0.3035	0.0746	0.0000	0.0000	0.1526	0.0225	145
30	310	1.9045	0.0867	0.7354	0.3472	0.3472	0.9704	0.1725	0.2935	0.0746	0.0000	0.0000	0.1530	0.0171	150
31	320	1.9017	0.0862	0.7354	0.3468	0.3485	0.9676	0.1701	0.2886	0.0647	0.0149	0.0000	0.1525	0.0148	155
32	330	1.9040	0.0896	0.7279	0.3538	0.3503	0.9646	0.1712	0.2985	0.0597	0.0000	0.0000	0.1530	0.0150	160
33	340	1.9094	0.0872	0.7367	0.3467	0.3526	0.9615	0.1772	0.3134	0.0746	0.0000	0.0000	0.1584	0.0165	165
34	350	1.9055	0.0865	0.7366	0.3460	0.3446	0.9582	0.1633	0.2786	0.0547	0.0000	0.0000	0.1430	0.0177	170
35	360	1.8914	0.0873	0.7275	0.3537	0.3494	0.9548	0.1767	0.3085	0.0746	0.0050	0.0000	0.1589	0.0148	175
36	370	1.9032	0.0847	0.7398	0.3432	0.3466	0.9514	0.1702	0.2985	0.0647	0.0100	0.0000	0.1468	0.0206	180
37	380	1.8905	0.0866	0.7288	0.3538	0.3552	0.9477	0.1811	0.3234	0.0746	0.0050	0.0000	0.1591	0.0188	184
38	390	1.8857	0.0842	0.7324	0.3501	0.3448	0.9440	0.1697	0.3035	0.0597	0.0000	0.0000	0.1527	0.0143	189
39	400	1.8899	0.0835	0.7363	0.3464	0.3469	0.9401	0.1736	0.3085	0.0597	0.0000	0.0000	0.1557	0.0150	194
40	410	1.8895	0.0853	0.7315	0.3510	0.3552	0.9361	0.1731	0.3035	0.0498	0.0050	0.0000	0.1542	0.0162	199
41	420	1.8979	0.0849	0.7368	0.3458	0.3569	0.9320	0.1804	0.2985	0.0746	0.0050	0.0000	0.1611	0.0161	204
42	430	1.8683	0.0841	0.7239	0.3571	0.3475	0.9278	0.1663	0.2786	0.0448	0.0050	0.0000	0.1480	0.0159	208
43	440	1.8860	0.0840	0.7330	0.3491	0.3582	0.9235	0.1806	0.3134	0.0647	0.0000	0.0000	0.1643	0.0131	213
44	450	1.8744	0.0833	0.7289	0.3522	0.3516	0.9190	0.1652	0.2836	0.0498	0.0000	0.0000	0.1504	0.0121	218
45	460	1.8621	0.0841	0.7209	0.3599	0.3601	0.9145	0.1720	0.3035	0.0547	0.0000	0.0000	0.1523	0.0169	223
46	470	1.8614	0.0820	0.7258	0.3535	0.3587	0.9098	0.1652	0.2886	0.0448	0.0000	0.0000	0.1467	0.0157	229
47	480	1.8654	0.0853	0.7193	0.3589	0.3570	0.9050	0.1705	0.3035	0.0647	0.0000	0.0000	0.1498	0.0175	234
48	490	1.8607	0.0807	0.7286	0.3527	0.3623	0.9001	0.1756	0.2985	0.0697	0.0050	0.0000	0.1581	0.0141	240
49	500	1.8479	0.0811	0.7213	0.3574	0.3593	0.8951	0.1743	0.2736	0.0597	0.0100	0.0000	0.1544	0.0169	245
50	510	1.8467	0.0820	0.7182	0.3605	0.3590	0.8900	0.1747	0.2836	0.0697	0.0050	0.0000	0.1537	0.0182	250
51	520	1.8445	0.0795	0.7234	0.3562	0.3594	0.8847	0.1733	0.2786	0.0597	0.0050	0.0000	0.1533	0.0165	255
52	530	1.8403	0.0809	0.7180	0.3610	0.3577	0.8794	0.1695	0.2886	0.0647	0.0000	0.0000	0.1515	0.0150	260
53	540	1.8418	0.0800	0.7208	0.3586	0.3674	0.8740	0.1842	0.3284	0.0796	0.0000	0.0000	0.1641	0.0171	265
54	550	1.8487	0.0830	0.7169	0.3615	0.3609	0.8684	0.1741	0.2935	0.0597	0.0000	0.0000	0.1538	0.0169	270
55	560	1.8394	0.0820	0.7147	0.3640	0.3579	0.8628	0.1716	0.2836	0.0498	0.0050	0.0000	0.1511	0.0178	275
56	570	1.8442	0.0783	0.7262	0.3537	0.3611	0.8570	0.1775	0.3085	0.0697	0.0000	0.0000	0.1579	0.0166	279
57	580	1.8395	0.0823	0.7141	0.3640	0.3623	0.8512	0.1682	0.2836	0.0498	0.0000	0.0000	0.1522	0.0132	284
58	590	1.8326	0.0792	0.7183	0.3610	0.3601	0.8453	0.1703	0.2687	0.0547	0.0050	0.0000	0.1541	0.0132	289
59	600	1.8347	0.0787	0.7206	0.3586	0.3650	0.8392	0.1692	0.2786	0.0597	0.0000	0.0000	0.1506	0.0158	294
60	610	1.8358	0.0821	0.7125	0.3654	0.3651	0.8331	0.1743	0.3134	0.0547	0.0000	0.0000	0.1557	0.0158	299
61	620	1.8330	0.0788	0.7195	0.3600	0.3651	0.8269	0.1849	0.3333	0.0697	0.0000	0.0000	0.1651	0.0163	304
62	630	1.8358	0.0817	0.7137	0.3642	0.3638	0.8206	0.1749	0.3035	0.0647	0.0050	0.0000	0.1576	0.0138	309
63	640	1.8256	0.0795	0.7141	0.3650	0.3660	0.8142	0.1770	0.2985	0.0597	0.0050	0.0000	0.1600	0.0133	315
64	650	1.8270	0.0788	0.7164	0.3626	0.3633	0.8078	0.1795	0.3085	0.0597	0.0050	0.0000	0.1616	0.0138	319
65	660	1.8273	0.0791	0.7159	0.3639	0.3643	0.8012	0.1759	0.2886	0.0597	0.0050	0.0000	0.1584	0.0143	324
66	670	1.8175	0.0796	0.7098	0.3690	0.3662	0.7946	0.1793	0.3184	0.0547	0.0000	0.0000	0.1601	0.0151	329
67	680	1.8267	0.0790	0.7159	0.3632	0.3661	0.7878	0.1828	0.3134	0.0697	0.0050	0.0000	0.1607	0.0189	334
68	690	1.8172	0.0773	0.7153	0.3640	0.3636	0.7810	0.1719	0.2886	0.0597	0.0050	0.0000	0.1559	0.0123	339
69	700	1.8215	0.0792	0.7127	0.3659	0.3693	0.7742	0.1716	0.2985	0.0597	0.0000	0.0000	0.1588	0.0095	344
70	710	1.8116	0.0755	0.7169	0.3631	0.3662	0.7672	0.1771	0.3234	0.0498	0.0000	0.0000	0.1609	0.0130	349
71	720	1.8304	0.0794	0.7166	0.3625	0.3633	0.7602	0.1713	0.2985	0.0547	0.0000	0.0000	0.1551	0.0123	353
72	730	1.8153	0.0779	0.7129	0.3663	0.3658	0.7531	0.1759	0.3035	0.0597	0.0000	0.0000	0.1632	0.0091	358
73	740	1.8161	0.0774	0.7145	0.3649	0.3659	0.7459	0.1732	0.3085	0.0547	0.0000	0.0000	0.1575	0.0121	363
74	750	1.8101	0.0775	0.7112	0.3679	0.3689	0.7387	0.1728	0.2935	0.0647	0.0000	0.0000	0.1608	0.0077	368
75	760	1.8075	0.0774	0.7102	0.3685	0.3718	0.7314	0.1793	0.3085	0.0647	0.0050	0.0000	0.1646	0.0107	373
76	770	1.8158	0.0789	0.7106	0.3681	0.3668	0.7240	0.1676	0.2786	0.0448	0.0000	0.0000	0.1529	0.0113	378
77	780	1.8071	0.0762	0.7132	0.3661	0.3681	0.7166	0.1710	0.2985	0.0597	0.0050	0.0000	0.1555	0.0117	383
78	790	1.8102	0.0775	0.7113	0.3679	0.3697	0.7091	0.1719	0.2985	0.0498	0.0000	0.0000	0.1572	0.0114	388
79	800	1.8115	0.0776	0.7116	0.3677	0.3675	0.7016	0.1658	0.2836	0.0448	0.0000	0.0000	0.1485	0.0140	393
80	810	1.8115	0.0776	0.7118	0.3671	0.3698	0.6940	0.1713	0.2935	0.0498	0.0000	0.0000	0.1546	0.0133	398
81	820	1.8058	0.0760	0.7129	0.3663	0.3702	0.6864	0.1719	0.3035	0.0597	0.0000	0.0000	0.1566	0.0119	403
82	830	1.8074	0.0779	0.7090	0.3702	0.3725	0.6787	0.1713	0.2935	0.0498	0.0000	0.0000	0.1562	0.0119	408
83	840	1.8020	0.0764	0.7100	0.3692	0.3700	0.6709	0.1719	0.2786	0.0498	0.0000	0.0000	0.1554	0.0133	413
