epoch	step	loss	l1	ciou	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	sec
0	10	2.5941	0.1727	0.8653	0.2221	0.2243	0.1000	0.1930	0.3184	0.0597	0.0000	0.0000	0.1884	0.0002	4
1	20	2.5481	0.1660	0.8590	0.2261	0.2293	0.2000	0.1918	0.3134	0.0697	0.0000	0.0000	0.1875	0.0003	10
2	30	2.4953	0.1567	0.8558	0.2283	0.2284	0.3000	0.1851	0.3134	0.0697	0.0000	0.0000	0.1811	0.0005	14
3	40	2.4639	0.1519	0.8523	0.2316	0.2319	0.4000	0.1824	0.3085	0.0746	0.0000	0.0000	0.1779	0.0012	19
4	50	2.4459	0.1505	0.8468	0.2365	0.2392	0.5000	0.1863	0.3234	0.0746	0.0000	0.0000	0.1799	0.0031	24
5	60	2.3842	0.1461	0.8268	0.2515	0.2596	0.6000	0.1886	0.3284	0.0647	0.0000	0.0000	0.1793	0.0058	29
6	70	2.2850	0.1339	0.8078	0.2692	0.2937	0.7000	0.1780	0.3085	0.0597	0.0000	0.0000	0.1651	0.0095	33
7	80	2.0790	0.1153	0.7512	0.3191	0.3446	0.8000	0.1754	0.3234	0.0647	0.0000	0.0000	0.1512	0.0205	38
8	90	1.9169	0.1038	0.6989	0.3591	0.3606	0.9000	0.1737	0.3284	0.0498	0.0000	0.0000	0.1513	0.0214	43
9	100	1.7603	0.0942	0.6446	0.4025	0.3966	1.0000	0.1882	0.3582	0.0597	0.0000	0.0000	0.1372	0.0505	48
10	110	1.6824	0.0884	0.6203	0.4192	0.4656	0.9999	0.2013	0.3881	0.0597	0.0000	0.0000	0.1437	0.0591	52
11	120	1.4320	0.0741	0.5307	0.4982	0.5474	0.9998	0.2292	0.4478	0.1045	0.0000	0.0000	0.1479	0.0821	58
12	130	1.4069	0.0735	0.5197	0.5043	0.5289	0.9994	0.2345	0.4428	0.0995	0.0000	0.0000	0.1490	0.0866	63
13	140	1.4272	0.0712	0.5357	0.4926	0.5570	0.9990	0.2263	0.3980	0.1144	0.0050	0.0000	0.1436	0.0828	69
14	150	1.1697	0.0587	0.4380	0.5787	0.5730	0.9984	0.2230	0.4776	0.0746	0.0050	0.0000	0.1230	0.1024	74
15	160	1.1686	0.0546	0.4478	0.5698	0.6095	0.9976	0.2194	0.4179	0.0896	0.0050	0.0000	0.1222	0.1012	79
16	170	1.0191	0.0478	0.3901	0.6242	0.6213	0.9967	0.2436	0.4726	0.1045	0.0000	0.0000	0.1286	0.1179	83
17	180	0.9869	0.0467	0.3766	0.6368	0.6578	0.9957	0.2449	0.4677	0.1393	0.0149	0.0000	0.1289	0.1186	89
18	190	0.9483	0.0440	0.3641	0.6471	0.6370	0.9946	0.2189	0.4229	0.0746	0.0050	0.0000	0.1304	0.0905	95
19	200	0.9352	0.0435	0.3589	0.6525	0.7086	0.9933	0.2410	0.4726	0.0945	0.0050	0.0000	0.1212	0.1216	99
20	210	0.9346	0.0418	0.3628	0.6482	0.6747	0.9919	0.2492	0.5075	0.0995	0.0050	0.0000	0.1331	0.1187	104
21	220	0.8416	0.0382	0.3252	0.6851	0.6588	0.9904	0.2173	0.4179	0.0945	0.0000	0.0000	0.1206	0.0985	110
22	230	0.9667	0.0449	0.3711	0.6404	0.6677	0.9887	0.2308	0.4627	0.0896	0.0000	0.0000	0.1320	0.1012	114
23	240	0.8434	0.0378	0.3271	0.6814	0.7085	0.9869	0.2270	0.4378	0.0846	0.0000	0.0000	0.1131	0.1169	119
24	250	0.8387	0.0379	0.3246	0.6838	0.7212	0.9849	0.2319	0.4527	0.0945	0.0100	0.0000	0.1231	0.1112	124
25	260	0.8401	0.0385	0.3237	0.6867	0.7261	0.9828	0.2372	0.4577	0.1095	0.0000	0.0000	0.1165	0.1237	129
26	270	0.8384	0.0370	0.3267	0.6825	0.7064	0.9806	0.2365	0.5025	0.0796	0.0050	0.0000	0.1254	0.1131	134
27	280	0.7781	0.0338	0.3045	0.7030	0.7321	0.9783	0.2288	0.4527	0.1045	0.0149	0.0000	0.1203	0.1104	138
28	290	0.7603	0.0321	0.2999	0.7070	0.7516	0.9758	0.2233	0.4279	0.0896	0.0050	0.0000	0.1128	0.1123	143
29	300	0.8018	0.0343	0.3151	0.6938	0.7023	0.9732	0.2272	0.4378	0.0846	0.0000	0.0000	0.1071	0.1224	149
30	310	0.7826	0.0343	0.3057	0.7015	0.7486	0.9704	0.2431	0.4726	0.1194	0.0100	0.0000	0.1176	0.1272	154
31	320	0.7974	0.0367	0.3069	0.7029	0.7409	0.9676	0.2322	0.4726	0.0796	0.0100	0.0000	0.1070	0.1262	160
32	330	0.6886	0.0302	0.2689	0.7375	0.7607	0.9646	0.2355	0.4378	0.1045	0.0100	0.0000	0.1239	0.1128	165
33	340	0.6594	0.0300	0.2547	0.7515	0.7718	0.9615	0.2369	0.4677	0.0945	0.0149	0.0000	0.1213	0.1174	170
34	350	0.7009	0.0311	0.2727	0.7347	0.7671	0.9582	0.2249	0.4179	0.0796	0.0050	0.0000	0.1090	0.1177	174
35	360	0.7604	0.0316	0.3013	0.7080	0.7458	0.9548	0.2346	0.4726	0.0746	0.0100	0.0000	0.1208	0.1146	179
36	370	0.7065	0.0289	0.2809	0.7260	0.7487	0.9514	0.2271	0.4478	0.0896	0.0100	0.0000	0.1192	0.1088	184
