epoch	step	loss	l1	ciou	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	sec
0	10	2.5929	0.1726	0.8650	0.2221	0.2240	0.1000	0.1927	0.3284	0.0597	0.0000	0.0000	0.1887	-0.0003	5
1	20	2.5489	0.1660	0.8595	0.2256	0.2295	0.2000	0.1913	0.3284	0.0697	0.0000	0.0000	0.1873	0.0000	10
2	30	2.4798	0.1549	0.8527	0.2307	0.2291	0.3000	0.1833	0.3035	0.0697	0.0000	0.0000	0.1794	0.0003	15
3	40	2.4607	0.1506	0.8539	0.2305	0.2329	0.4000	0.1791	0.2985	0.0597	0.0000	0.0000	0.1743	0.0015	19
4	50	2.4196	0.1474	0.8413	0.2408	0.2463	0.5000	0.1838	0.3134	0.0697	0.0000	0.0000	0.1768	0.0035	24
5	60	2.3389	0.1405	0.8181	0.2581	0.2769	0.6000	0.1898	0.3234	0.0697	0.0000	0.0000	0.1767	0.0097	29
6	70	2.1995	0.1261	0.7845	0.2872	0.3287	0.7000	0.1862	0.3333	0.0846	0.0050	0.0000	0.1635	0.0191	34
7	80	2.0043	0.1135	0.7185	0.3417	0.3891	0.8000	0.1928	0.3383	0.0796	0.0000	0.0000	0.1589	0.0318	39
8	90	1.8291	0.0962	0.6742	0.3764	0.4244	0.9000	0.2009	0.3682	0.0697	0.0050	0.0000	0.1472	0.0522	44
9	100	1.7365	0.0917	0.6390	0.4080	0.4557	1.0000	0.2155	0.4030	0.0995	0.0000	0.0000	0.1479	0.0671	50
10	110	1.5747	0.0842	0.5769	0.4599	0.4628	0.9998	0.2084	0.4229	0.0547	0.0000	0.0000	0.1404	0.0681	56
11	120	1.5727	0.0802	0.5858	0.4501	0.5058	0.9989	0.2309	0.4328	0.1095	0.0000	0.0000	0.1428	0.0878	61
12	130	1.3929	0.0714	0.5179	0.5091	0.5262	0.9974	0.2277	0.4428	0.1045	0.0000	0.0000	0.1236	0.1055	69
13	140	1.2981	0.0666	0.4826	0.5408	0.5439	0.9954	0.2202	0.4229	0.0995	0.0100	0.0000	0.1390	0.0819	75
14	150	1.2514	0.0605	0.4745	0.5483	0.5870	0.9927	0.2420	0.4677	0.1045	0.0149	0.0000	0.1253	0.1170	80
15	160	1.1533	0.0579	0.4320	0.5848	0.6454	0.9894	0.2332	0.4229	0.0995	0.0100	0.0000	0.1300	0.1054	86
16	170	1.0479	0.0504	0.3981	0.6157	0.6302	0.9856	0.2386	0.4627	0.0945	0.0050	0.0000	0.1295	0.1116	91
17	180	1.1371	0.0525	0.4374	0.5806	0.6535	0.9811	0.2385	0.4627	0.1045	0.0000	0.0000	0.1365	0.1044	96
18	190	1.0090	0.0486	0.3831	0.6287	0.6789	0.9761	0.2390	0.4428	0.1144	0.0100	0.0000	0.1284	0.1130	101
19	200	0.9621	0.0446	0.3697	0.6430	0.6339	0.9704	0.2151	0.4229	0.0796	0.0100	0.0000	0.1145	0.1021	105
20	210	1.0740	0.0517	0.4078	0.6055	0.6438	0.9642	0.2115	0.4080	0.0796	0.0050	0.0000	0.1296	0.0853	110
21	220	0.9366	0.0420	0.3634	0.6488	0.6435	0.9575	0.2188	0.3930	0.0945	0.0100	0.0050	0.1138	0.1073	115
22	230	0.9176	0.0392	0.3607	0.6504	0.6887	0.9502	0.2306	0.4527	0.1095	0.0050	0.0000	0.1275	0.1045	120
23	240	0.8337	0.0381	0.3216	0.6861	0.7212	0.9423	0.2266	0.4378	0.0846	0.0000	0.0000	0.1244	0.1048	125
24	250	0.8311	0.0379	0.3209	0.6882	0.7019	0.9339	0.2165	0.4030	0.0846	0.0050	0.0000	0.1169	0.1035	129
25	260	0.7574	0.0351	0.2909	0.7169	0.6895	0.9249	0.2307	0.4577	0.0945	0.0000	0.0000	0.1205	0.1140	134
26	270	0.8493	0.0375	0.3309	0.6782	0.7354	0.9155	0.2303	0.4527	0.0746	0.0149	0.0000	0.1199	0.1125	139
27	280	0.8172	0.0364	0.3175	0.6917	0.7280	0.9055	0.2260	0.4428	0.0995	0.0000	0.0000	0.1309	0.0976	144
28	290	0.7698	0.0337	0.3007	0.7066	0.7244	0.8951	0.2280	0.4229	0.1095	0.0050	0.0000	0.1209	0.1114	149
29	300	0.7567	0.0346	0.2918	0.7150	0.7341	0.8841	0.2062	0.3731	0.0796	0.0050	0.0000	0.1100	0.0985	154
30	310	0.7618	0.0325	0.2995	0.7071	0.7787	0.8727	0.2373	0.4527	0.0995	0.0050	0.0000	0.1276	0.1119	158
31	320	0.7769	0.0324	0.3073	0.7006	0.7545	0.8609	0.2261	0.4527	0.0647	0.0050	0.0000	0.1236	0.1053	163
32	330	0.7276	0.0317	0.2845	0.7227	0.7570	0.8486	0.2200	0.4129	0.0896	0.0100	0.0000	0.1269	0.0952	168
33	340	0.5987	0.0249	0.2371	0.7673	0.7740	0.8359	0.2326	0.4776	0.1095	0.0000	0.0000	0.1230	0.1117	173
34	350	0.6722	0.0290	0.2636	0.7424	0.7889	0.8227	0.2250	0.4080	0.0846	0.0050	0.0000	0.1157	0.1128	177
35	360	0.6050	0.0259	0.2377	0.7671	0.7850	0.8092	0.2248	0.4229	0.0945	0.0050	0.0000	0.1161	0.1118	182
36	370	0.6844	0.0285	0.2711	0.7353	0.7534	0.7953	0.2254	0.4577	0.0846	0.0050	0.0000	0.1189	0.1090	187
37	380	0.6517	0.0278	0.2563	0.7481	0.7674	0.7810	0.2245	0.4627	0.0796	0.0000	0.0000	0.1205	0.1067	192
38	390	0.6220	0.0261	0.2457	0.7595	0.8036	0.7664	0.2295	0.4478	0.0896	0.0100	0.0000	0.1212	0.1110	197
39	400	0.5989	0.0256	0.2354	0.7692	0.7944	0.7515	0.2237	0.4627	0.0647	0.0000	0.0000	0.1144	0.1125	202
40	410	0.5140	0.0219	0.2021	0.8012	0.7956	0.7363	0.2327	0.4428	0.0746	0.0149	0.0000	0.1199	0.1151	206
41	420	0.5949	0.0243	0.2368	0.7696	0.8023	0.7208	0.2248	0.4328	0.0796	0.0050	0.0000	0.1144	0.1135	211
42	430	0.5573	0.0233	0.2205	0.7834	0.8046	0.7050	0.2270	0.4428	0.0995	0.0050	0.0000	0.1129	0.1174	216
43	440	0.5722	0.0229	0.2289	0.7754	0.8096	0.6889	0.2348	0.4726	0.0945	0.0050	0.0000	0.1225	0.1166	221
44	450	0.5274	0.0228	0.2066	0.7970	0.7796	0.6726	0.2153	0.3980	0.0945	0.0000	0.0000	0.1161	0.1026	225
45	460	0.5975	0.0255	0.2350	0.7697	0.7735	0.6562	0.2310	0.4577	0.0846	0.0050	0.0000	0.1225	0.1117	230
46	470	0.5605	0.0224	0.2241	0.7797	0.7998	0.6395	0.2152	0.4179	0.0697	0.0050	0.0000	0.1278	0.0891	235
47	480	0.5255	0.0211	0.2099	0.7935	0.7923	0.6227	0.2309	0.4478	0.0796	0.0050	0.0000	0.1224	0.1110	240
48	490	0.5202	0.0199	0.2104	0.7933	0.8214	0.6057	0.2290	0.4428	0.0796	0.0000	0.0000	0.1175	0.1139	244
49	500	0.4828	0.0191	0.1936	0.8094	0.8380	0.5885	0.2232	0.4428	0.0995	0.0000	0.0000	0.1223	0.1041	249
50	510	0.5040	0.0208	0.2000	0.8039	0.8303	0.5713	0.2290	0.4577	0.0796	0.0050	0.0000	0.1256	0.1062	254
51	520	0.4537	0.0182	0.1813	0.8211	0.8336	0.5540	0.2227	0.4229	0.0846	0.0050	0.0000	0.1223	0.1033	259
