epoch	step	loss	l1	ciou	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	sec
0	10	2.5927	0.1723	0.8656	0.2215	0.2238	0.1000	0.1928	0.3184	0.0647	0.0000	0.0000	0.1888	-0.0004	5
1	20	2.5445	0.1655	0.8586	0.2261	0.2299	0.2000	0.1922	0.3234	0.0697	0.0000	0.0000	0.1886	-0.0003	10
2	30	2.4905	0.1562	0.8547	0.2295	0.2294	0.3000	0.1841	0.3134	0.0746	0.0000	0.0000	0.1803	0.0003	14
3	40	2.4596	0.1510	0.8523	0.2315	0.2320	0.4000	0.1822	0.3085	0.0746	0.0000	0.0000	0.1781	0.0007	20
4	50	2.4297	0.1497	0.8407	0.2404	0.2430	0.5000	0.1878	0.3134	0.0746	0.0000	0.0000	0.1812	0.0031	25
5	60	2.3402	0.1407	0.8183	0.2581	0.2702	0.6000	0.1885	0.3184	0.0697	0.0000	0.0000	0.1769	0.0083	30
6	70	2.1905	0.1269	0.7779	0.2935	0.3301	0.7000	0.1943	0.3582	0.0597	0.0050	0.0000	0.1735	0.0176	35
7	80	2.0602	0.1176	0.7360	0.3278	0.3788	0.8000	0.1981	0.3483	0.0896	0.0050	0.0000	0.1617	0.0330	41
8	90	1.8040	0.0974	0.6584	0.3904	0.4188	0.9000	0.2105	0.3831	0.0945	0.0000	0.0000	0.1579	0.0495	47
9	100	1.7350	0.0895	0.6436	0.4024	0.3898	1.0000	0.1879	0.3483	0.0697	0.0000	0.0000	0.1671	0.0212	53
10	110	1.6449	0.0881	0.6021	0.4380	0.4301	0.9998	0.2134	0.4179	0.0796	0.0050	0.0000	0.1536	0.0590	58
11	120	1.4830	0.0766	0.5499	0.4788	0.5164	0.9989	0.2162	0.4129	0.0896	0.0050	0.0000	0.1312	0.0841	64
12	130	1.3476	0.0669	0.5067	0.5192	0.5444	0.9974	0.2331	0.4577	0.1144	0.0050	0.0000	0.1398	0.0940	69
13	140	1.3026	0.0647	0.4895	0.5330	0.5538	0.9954	0.2371	0.4776	0.0846	0.0050	0.0000	0.1425	0.0937	75
14	150	1.2067	0.0573	0.4600	0.5586	0.5759	0.9927	0.2273	0.4527	0.0846	0.0100	0.0000	0.1184	0.1095	80
