epoch	step	loss	box	slot	tag	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	perplex	n_keys	pos_rms	q_rate	k_rate	logit_sd	box_mass	box_mass_x	sec
0	1633	10.6664	2.5892	5.5266	0.8195	0.1200	0.2027	0.9997	0.1883	0.3482	0.0640	0.0026	0.0000	0.0884	0.1002	19.40	6000	0.50000	0.4782	0.4171	3.583	0.28154	23.6722	171
1	3266	8.7344	2.0533	5.0274	0.4461	0.2336	0.2688	0.9980	0.2381	0.4333	0.1263	0.0123	0.0000	0.0903	0.1475	28.01	6000	0.50000	0.4515	0.4183	3.878	0.34986	27.8750	342
2	4899	8.2242	1.9220	4.8413	0.4269	0.2720	0.3176	0.9950	0.2836	0.5237	0.1991	0.0193	0.0009	0.0980	0.1817	16.43	6000	0.50000	0.4620	0.4055	3.683	0.39821	33.1634	515
3	6532	7.9013	1.8425	4.7219	0.4263	0.2978	0.3283	0.9906	0.2915	0.5289	0.2000	0.0202	0.0009	0.0946	0.1889	16.38	6000	0.50000	0.4603	0.4105	3.573	0.43495	34.8298	687
4	8165	7.6465	1.7711	4.6141	0.4287	0.3203	0.3662	0.9848	0.3186	0.5868	0.2456	0.0412	0.0000	0.1026	0.2100	13.25	6000	0.50000	0.4696	0.4032	3.862	0.45238	37.2544	860
5	9798	7.4467	1.7274	4.5191	0.4227	0.3342	0.3458	0.9777	0.2794	0.5035	0.2096	0.0289	0.0009	0.0944	0.1734	12.82	6000	0.50000	0.4764	0.3926	3.590	0.42249	36.7756	1034
6	11431	7.2639	1.6756	4.4216	0.4217	0.3505	0.3805	0.9693	0.2831	0.5175	0.2035	0.0237	0.0018	0.0987	0.1804	10.37	6000	0.50000	0.4892	0.3901	3.772	0.44090	38.2889	1208
7	13064	7.1034	1.6444	4.3294	0.4134	0.3610	0.4151	0.9596	0.3162	0.5702	0.2632	0.0272	0.0009	0.1060	0.2026	12.03	6000	0.50000	0.4690	0.3993	3.457	0.46219	38.7331	1382
8	14697	6.9838	1.6139	4.2512	0.4224	0.3706	0.4013	0.9486	0.3008	0.5316	0.2456	0.0342	0.0018	0.0978	0.1929	10.75	6000	0.50000	0.4797	0.3871	3.571	0.42909	37.2558	1556
9	16330	6.7671	1.5489	4.1441	0.4145	0.3918	0.4384	0.9363	0.3207	0.5623	0.2860	0.0395	0.0018	0.1064	0.2099	10.18	6000	0.50000	0.4794	0.3914	3.432	0.47547	40.9474	1732
10	17963	6.5869	1.5113	4.0379	0.4011	0.4029	0.4445	0.9229	0.3190	0.5728	0.2772	0.0377	0.0000	0.1067	0.2068	9.92	6000	0.50000	0.4871	0.3965	3.540	0.47411	39.8422	1907
11	19596	6.4459	1.4733	3.9616	0.4051	0.4158	0.4760	0.9083	0.3232	0.5798	0.2860	0.0395	0.0018	0.1028	0.2176	9.06	6000	0.50000	0.4856	0.3893	3.488	0.46859	40.1253	2081
12	21229	6.2946	1.4359	3.8685	0.4069	0.4286	0.4846	0.8925	0.3253	0.5754	0.2860	0.0500	0.0018	0.1028	0.2167	9.67	6000	0.50000	0.4837	0.3925	3.461	0.48980	41.0252	2257
13	22862	6.1105	1.3931	3.7560	0.4072	0.4414	0.5061	0.8757	0.3260	0.5728	0.2947	0.0377	0.0009	0.0976	0.2188	10.38	6000	0.50000	0.4868	0.3916	3.384	0.48029	41.6534	2434
14	24495	5.9611	1.3462	3.6740	0.4149	0.4580	0.5065	0.8578	0.3225	0.5693	0.2877	0.0491	0.0035	0.1026	0.2101	9.56	6000	0.50000	0.4899	0.3913	3.512	0.49437	43.3023	2612
15	26128	5.8558	1.3313	3.5909	0.4054	0.4639	0.5144	0.8389	0.3163	0.5702	0.2789	0.0360	0.0000	0.1040	0.1939	8.25	6000	0.50000	0.4914	0.3778	3.418	0.48443	42.7918	2787
16	27761	5.6697	1.2852	3.4938	0.3884	0.4783	0.5434	0.8191	0.3278	0.5860	0.3053	0.0342	0.0018	0.1018	0.2152	7.86	6000	0.50000	0.4982	0.3870	3.465	0.50094	44.4169	2962
17	29394	5.5332	1.2465	3.4091	0.3933	0.4930	0.5611	0.7984	0.3308	0.5737	0.2982	0.0404	0.0018	0.1048	0.2236	8.91	6000	0.50000	0.4952	0.3931	3.528	0.49621	42.7637	3137
18	31027	5.3573	1.1975	3.3108	0.3854	0.5086	0.5861	0.7769	0.3354	0.5965	0.3167	0.0579	0.0009	0.1065	0.2258	7.85	6000	0.50000	0.5001	0.3844	3.433	0.51102	44.2939	3311
19	32660	5.2215	1.1622	3.2319	0.3821	0.5218	0.5895	0.7547	0.3336	0.6018	0.3079	0.0395	0.0018	0.1030	0.2250	7.74	6000	0.50000	0.5003	0.3805	3.337	0.50523	44.4379	3488
