epoch	step	loss	l1	ciou	train_iou	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	sec
0	7539	2.0476	0.1227	0.7171	0.3384	0.9946	0.3533	0.6641	0.2681	0.0305	0.0014	0.1424	0.2104	1257
1	15078	1.9077	0.1107	0.6772	0.3724	0.9770	0.3593	0.6576	0.2963	0.0434	0.0028	0.1375	0.2215	2515
2	22617	1.8521	0.1058	0.6616	0.3862	0.9475	0.3726	0.6797	0.3189	0.0480	0.0014	0.1449	0.2276	3773
3	30156	1.8103	0.1025	0.6489	0.3977	0.9070	0.3815	0.6844	0.3299	0.0558	0.0032	0.1485	0.2324	5031
4	37695	1.7781	0.0998	0.6394	0.4063	0.8563	0.3833	0.6876	0.3415	0.0512	0.0032	0.1511	0.2317	6290
5	45234	1.7482	0.0973	0.6309	0.4140	0.7969	0.3837	0.6880	0.3466	0.0618	0.0028	0.1413	0.2419	7548
6	52773	1.7217	0.0952	0.6228	0.4212	0.7300	0.3884	0.6885	0.3549	0.0628	0.0051	0.1408	0.2473	8804
7	60312	1.6995	0.0933	0.6165	0.4270	0.6575	0.3958	0.6894	0.3599	0.0738	0.0065	0.1502	0.2449	10061
8	67851	1.6773	0.0917	0.6093	0.4334	0.5811	0.3993	0.6982	0.3701	0.0729	0.0032	0.1522	0.2463	11319
9	75390	1.6596	0.0903	0.6042	0.4382	0.5026	0.3941	0.6917	0.3623	0.0734	0.0018	0.1443	0.2498	12577
10	82929	1.6424	0.0890	0.5988	0.4430	0.4241	0.3987	0.7107	0.3706	0.0665	0.0028	0.1476	0.2509	13833
11	90468	1.6252	0.0876	0.5935	0.4477	0.3475	0.3994	0.6968	0.3743	0.0720	0.0065	0.1440	0.2554	15089
12	98007	1.6108	0.0866	0.5889	0.4520	0.2746	0.4008	0.7065	0.3729	0.0808	0.0051	0.1441	0.2566	16346
13	105546	1.5968	0.0855	0.5847	0.4557	0.2074	0.4017	0.7005	0.3715	0.0771	0.0051	0.1404	0.2608	17604
14	113085	1.5858	0.0848	0.5809	0.4591	0.1474	0.3981	0.6991	0.3743	0.0775	0.0065	0.1417	0.2567	18862
15	120624	1.5767	0.0840	0.5782	0.4615	0.0961	0.3973	0.6904	0.3747	0.0803	0.0042	0.1404	0.2571	20119
16	128163	1.5684	0.0834	0.5756	0.4640	0.0549	0.4013	0.6913	0.3770	0.0780	0.0074	0.1419	0.2589	21375
17	135702	1.5632	0.0830	0.5741	0.4653	0.0246	0.4004	0.7033	0.3770	0.0794	0.0060	0.1431	0.2572	22632
18	143241	1.5603	0.0828	0.5732	0.4662	0.0062	0.4026	0.6982	0.3793	0.0808	0.0074	0.1432	0.2591	23889
19	150780	1.5589	0.0827	0.5726	0.4668	0.0000	0.4016	0.7005	0.3724	0.0844	0.0042	0.1434	0.2581	25148
