epoch	step	loss	l1	ciou	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	sec
0	7539	2.0434	0.1230	0.7142	0.3406	0.3739	0.9998	0.3522	0.6465	0.2760	0.0286	0.0005	0.1424	0.2097	1251
1	15078	1.9051	0.1109	0.6754	0.3740	0.3958	0.9991	0.3652	0.6756	0.2976	0.0411	0.0009	0.1407	0.2241	2503
2	22617	1.8501	0.1063	0.6593	0.3884	0.4017	0.9979	0.3686	0.6710	0.3161	0.0485	0.0014	0.1397	0.2287	3755
3	30156	1.8100	0.1030	0.6476	0.3989	0.4141	0.9962	0.3815	0.6853	0.3272	0.0568	0.0037	0.1438	0.2375	5009
4	37695	1.7808	0.1005	0.6393	0.4064	0.4261	0.9940	0.3890	0.7014	0.3410	0.0586	0.0037	0.1465	0.2423	6262
5	45234	1.7523	0.0981	0.6308	0.4140	0.4307	0.9913	0.3896	0.6853	0.3498	0.0595	0.0046	0.1462	0.2433	7515
6	52773	1.7284	0.0961	0.6240	0.4202	0.4320	0.9882	0.3870	0.6917	0.3475	0.0554	0.0037	0.1385	0.2486	8767
7	60312	1.7065	0.0945	0.6171	0.4263	0.4458	0.9845	0.3940	0.7033	0.3521	0.0669	0.0037	0.1518	0.2420	10021
8	67851	1.6885	0.0929	0.6120	0.4309	0.4495	0.9804	0.3965	0.7024	0.3623	0.0734	0.0078	0.1481	0.2485	11275
9	75390	1.6720	0.0916	0.6069	0.4354	0.4462	0.9758	0.3920	0.6959	0.3484	0.0678	0.0046	0.1520	0.2398	12529
10	82929	1.6525	0.0900	0.6011	0.4405	0.4582	0.9708	0.3959	0.6982	0.3618	0.0729	0.0032	0.1413	0.2547	13781
11	90468	1.6369	0.0888	0.5964	0.4448	0.4626	0.9652	0.3952	0.7010	0.3613	0.0711	0.0037	0.1491	0.2464	15033
12	98007	1.6223	0.0876	0.5921	0.4487	0.4659	0.9592	0.3970	0.6927	0.3636	0.0715	0.0051	0.1401	0.2573	16285
13	105546	1.6064	0.0865	0.5871	0.4531	0.4686	0.9528	0.3976	0.6954	0.3664	0.0761	0.0046	0.1446	0.2533	17538
14	113085	1.5964	0.0857	0.5840	0.4559	0.4778	0.9459	0.3974	0.6940	0.3775	0.0743	0.0037	0.1418	0.2558	18792
15	120624	1.5807	0.0845	0.5790	0.4603	0.4783	0.9386	0.4008	0.6996	0.3784	0.0757	0.0037	0.1451	0.2558	20044
16	128163	1.5690	0.0836	0.5754	0.4635	0.4811	0.9308	0.3998	0.6977	0.3761	0.0798	0.0060	0.1420	0.2580	21296
17	135702	1.5564	0.0828	0.5712	0.4672	0.4872	0.9226	0.4044	0.7084	0.3738	0.0743	0.0046	0.1498	0.2546	22549
18	143241	1.5436	0.0819	0.5670	0.4710	0.4879	0.9140	0.4029	0.7070	0.3867	0.0720	0.0051	0.1426	0.2607	23802
19	150780	1.5315	0.0810	0.5631	0.4746	0.4958	0.9050	0.4039	0.7070	0.3793	0.0766	0.0055	0.1407	0.2632	25055
20	158319	1.5188	0.0802	0.5590	0.4781	0.4966	0.8956	0.4067	0.7084	0.3830	0.0794	0.0055	0.1468	0.2598	26307
