epoch	step	loss	l1	ciou	train_iou	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	sec
0	10	2.5903	0.1721	0.8650	0.2220	0.0200	0.1928	0.3134	0.0547	0.0000	0.0000	0.1884	0.0001	4
1	20	2.5788	0.1705	0.8632	0.2232	0.0400	0.1930	0.3284	0.0597	0.0000	0.0000	0.1889	-0.0003	9
2	30	2.5611	0.1679	0.8607	0.2248	0.0600	0.1928	0.3234	0.0697	0.0000	0.0000	0.1888	-0.0003	14
3	40	2.5360	0.1641	0.8577	0.2267	0.0800	0.1919	0.3134	0.0697	0.0000	0.0000	0.1882	-0.0003	19
4	50	2.5072	0.1598	0.8541	0.2294	0.1000	0.1899	0.3333	0.0746	0.0000	0.0000	0.1859	0.0002	23
5	60	2.4862	0.1559	0.8534	0.2302	0.1200	0.1880	0.3134	0.0796	0.0000	0.0000	0.1841	0.0002	28
6	70	2.4698	0.1535	0.8513	0.2318	0.1400	0.1872	0.3134	0.0697	0.0000	0.0000	0.1834	0.0001	32
7	80	2.4614	0.1522	0.8502	0.2329	0.1600	0.1861	0.3234	0.0697	0.0000	0.0000	0.1822	0.0004	37
8	90	2.4534	0.1511	0.8488	0.2340	0.1800	0.1865	0.3284	0.0746	0.0000	0.0000	0.1824	0.0005	42
9	100	2.4416	0.1514	0.8423	0.2387	0.2000	0.1891	0.3383	0.0697	0.0000	0.0000	0.1853	0.0004	46
10	110	2.4102	0.1479	0.8355	0.2443	0.2200	0.1872	0.3284	0.0746	0.0000	0.0000	0.1831	0.0007	51
11	120	2.3635	0.1437	0.8224	0.2556	0.2400	0.1883	0.3284	0.0746	0.0000	0.0000	0.1834	0.0014	55
12	130	2.3140	0.1391	0.8092	0.2670	0.2600	0.1894	0.3333	0.0746	0.0050	0.0000	0.1834	0.0032	60
13	140	2.2557	0.1323	0.7971	0.2777	0.2800	0.1907	0.3383	0.0697	0.0000	0.0000	0.1807	0.0064	64
14	150	2.1742	0.1268	0.7702	0.3008	0.3000	0.1890	0.3532	0.0796	0.0000	0.0000	0.1741	0.0111	69
15	160	2.0806	0.1174	0.7469	0.3221	0.3200	0.1917	0.3483	0.0746	0.0050	0.0000	0.1705	0.0177	73
16	170	1.9787	0.1100	0.7143	0.3482	0.3400	0.1985	0.3532	0.0896	0.0050	0.0000	0.1699	0.0248	78
17	180	1.8921	0.1048	0.6840	0.3725	0.3600	0.1999	0.3532	0.0846	0.0000	0.0000	0.1572	0.0390	83
18	190	1.7634	0.0957	0.6424	0.4051	0.3800	0.2031	0.3582	0.0647	0.0000	0.0000	0.1534	0.0488	89
19	200	1.6918	0.0926	0.6144	0.4252	0.4000	0.2233	0.3930	0.0945	0.0100	0.0000	0.1533	0.0700	94
20	210	1.6086	0.0857	0.5900	0.4469	0.4200	0.2145	0.4478	0.0846	0.0000	0.0000	0.1637	0.0503	100
21	220	1.5023	0.0785	0.5549	0.4789	0.4400	0.2286	0.4577	0.0796	0.0000	0.0000	0.1521	0.0768	104
22	230	1.4595	0.0793	0.5316	0.4981	0.4600	0.2323	0.4527	0.0896	0.0000	0.0000	0.1529	0.0791	109
23	240	1.3785	0.0723	0.5085	0.5168	0.4800	0.2347	0.4677	0.0846	0.0000	0.0000	0.1437	0.0920	115
24	250	1.2863	0.0676	0.4742	0.5486	0.5000	0.2337	0.4776	0.0796	0.0000	0.0000	0.1552	0.0804	120
25	260	1.2698	0.0655	0.4711	0.5522	0.5200	0.2441	0.4726	0.1194	0.0050	0.0000	0.1400	0.1041	125
26	270	1.1558	0.0590	0.4304	0.5876	0.5400	0.2322	0.4428	0.0746	0.0050	0.0000	0.1454	0.0868	130
27	280	1.1904	0.0597	0.4459	0.5754	0.5600	0.2299	0.4378	0.0846	0.0050	0.0000	0.1400	0.0892	135
28	290	1.1518	0.0578	0.4313	0.5857	0.5800	0.2315	0.4776	0.0995	0.0050	0.0000	0.1266	0.1057	139
29	300	1.1435	0.0583	0.4260	0.5907	0.6000	0.2290	0.4328	0.0995	0.0000	0.0000	0.1417	0.0880	144
30	310	1.0198	0.0481	0.3896	0.6231	0.6200	0.2328	0.4826	0.1045	0.0050	0.0000	0.1465	0.0870	148
31	320	0.9973	0.0477	0.3794	0.6334	0.6400	0.2356	0.4726	0.0896	0.0000	0.0000	0.1396	0.0948	153
32	330	1.0635	0.0504	0.4058	0.6097	0.6600	0.2530	0.5124	0.1095	0.0000	0.0000	0.1474	0.1034	157
33	340	0.9735	0.0451	0.3739	0.6383	0.6800	0.2304	0.3980	0.0945	0.0050	0.0000	0.1387	0.0903	163
34	350	0.9808	0.0461	0.3751	0.6360	0.7000	0.2350	0.4726	0.0995	0.0000	0.0000	0.1251	0.1108	167
35	360	0.9559	0.0430	0.3703	0.6405	0.7200	0.2389	0.4776	0.0995	0.0000	0.0000	0.1401	0.0981	172
36	370	0.9450	0.0425	0.3662	0.6450	0.7400	0.2184	0.4328	0.0597	0.0100	0.0000	0.1292	0.0887	176
37	380	0.8788	0.0409	0.3373	0.6718	0.7600	0.2295	0.4428	0.1095	0.0050	0.0000	0.1316	0.0978	181
38	390	0.9013	0.0397	0.3514	0.6593	0.7800	0.2276	0.4527	0.0746	0.0100	0.0000	0.1373	0.0908	185
39	400	0.9137	0.0403	0.3561	0.6537	0.8000	0.2345	0.4577	0.0945	0.0000	0.0000	0.1356	0.1002	190
40	410	0.9110	0.0401	0.3551	0.6547	0.8200	0.2281	0.4378	0.0995	0.0000	0.0000	0.1186	0.1107	195
41	420	0.8515	0.0381	0.3304	0.6793	0.8400	0.2176	0.4229	0.0647	0.0000	0.0000	0.1264	0.0912	199
42	430	0.8983	0.0411	0.3463	0.6653	0.8600	0.2387	0.4627	0.1095	0.0100	0.0000	0.1332	0.1056	204
43	440	0.8688	0.0374	0.3410	0.6682	0.8800	0.2370	0.4677	0.0995	0.0000	0.0000	0.1345	0.1041	208
44	450	0.7686	0.0334	0.3009	0.7064	0.9000	0.2255	0.4378	0.0846	0.0000	0.0000	0.1330	0.0933	213
45	460	0.9012	0.0389	0.3533	0.6567	0.9200	0.2396	0.4677	0.0896	0.0000	0.0000	0.1210	0.1197	217
46	470	0.7432	0.0332	0.2886	0.7175	0.9400	0.2191	0.4279	0.0796	0.0050	0.0000	0.1312	0.0872	222
47	480	0.8256	0.0360	0.3228	0.6858	0.9600	0.2423	0.4627	0.1095	0.0000	0.0000	0.1342	0.1088	227
48	490	0.7934	0.0344	0.3106	0.6968	0.9800	0.2314	0.4577	0.0846	0.0000	0.0000	0.1260	0.1060	231
49	500	0.7541	0.0337	0.2928	0.7134	1.0000	0.2338	0.4776	0.0945	0.0050	0.0000	0.1256	0.1099	236
50	510	0.8060	0.0349	0.3158	0.6916	1.0000	0.2388	0.4826	0.0995	0.0000	0.0000	0.1349	0.1041	240
51	520	0.7339	0.0332	0.2838	0.7216	1.0000	0.2352	0.4577	0.0796	0.0050	0.0000	0.1210	0.1152	245
52	530	0.7468	0.0312	0.2953	0.7114	1.0000	0.2216	0.4328	0.0697	0.0000	0.0000	0.1203	0.1027	249
53	540	0.7153	0.0307	0.2810	0.7257	1.0000	0.2236	0.4179	0.0846	0.0000	0.0000	0.1272	0.0967	254
54	550	0.7347	0.0309	0.2901	0.7161	0.9999	0.2347	0.4378	0.1045	0.0000	0.0000	0.1260	0.1085	258
55	560	0.6799	0.0302	0.2645	0.7411	0.9999	0.2210	0.4229	0.0796	0.0000	0.0000	0.1185	0.1033	263
56	570	0.7365	0.0326	0.2869	0.7184	0.9999	0.2446	0.4826	0.0945	0.0000	0.0000	0.1355	0.1086	267
57	580	0.7660	0.0327	0.3012	0.7052	0.9998	0.2355	0.4876	0.0995	0.0050	0.0000	0.1333	0.1026	272
58	590	0.6631	0.0282	0.2610	0.7434	0.9998	0.2116	0.4030	0.0597	0.0000	0.0000	0.1169	0.0940	276
59	600	0.6976	0.0290	0.2762	0.7289	0.9997	0.2279	0.4627	0.0846	0.0000	0.0000	0.1256	0.1043	281
60	610	0.6800	0.0291	0.2673	0.7376	0.9997	0.2243	0.4080	0.0597	0.0050	0.0000	0.1247	0.1000	285
61	620	0.6925	0.0275	0.2775	0.7286	0.9996	0.2250	0.4527	0.0796	0.0000	0.0000	0.1110	0.1146	290
