epoch	step	loss	box	slot	tag	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	sec
0	1918	8.2300	2.4916	5.5022	0.4724	0.1370	0.2177	0.9999	0.1959	0.3585	0.0681	0.0059	0.0000	0.0829	0.1010	219
1	3836	7.3688	2.1037	5.0830	0.3642	0.2169	0.2411	0.9993	0.1992	0.3695	0.0885	0.0055	0.0004	0.0777	0.1120	439
2	5754	7.1608	2.0334	4.9499	0.3550	0.2376	0.2476	0.9981	0.2086	0.3742	0.1033	0.0074	0.0004	0.0813	0.1208	663
3	7672	7.0332	2.0032	4.8569	0.3461	0.2464	0.2568	0.9965	0.2207	0.4016	0.1252	0.0117	0.0004	0.0745	0.1397	890
4	9590	6.8844	1.9623	4.7507	0.3427	0.2583	0.2715	0.9944	0.2178	0.3953	0.1115	0.0094	0.0000	0.0789	0.1349	1115
5	11508	6.7437	1.9274	4.6462	0.3402	0.2681	0.2919	0.9919	0.2358	0.4423	0.1272	0.0078	0.0004	0.0766	0.1533	1339
6	13426	6.6061	1.8932	4.5444	0.3369	0.2779	0.2713	0.9888	0.2029	0.3785	0.1080	0.0074	0.0000	0.0725	0.1209	1565
7	15344	6.4823	1.8674	4.4480	0.3339	0.2854	0.3010	0.9852	0.2212	0.4102	0.1143	0.0070	0.0004	0.0760	0.1351	1790
8	17262	6.3676	1.8460	4.3536	0.3360	0.2919	0.2964	0.9812	0.2215	0.4172	0.1108	0.0102	0.0004	0.0698	0.1417	2016
9	19180	6.2632	1.8164	4.2803	0.3331	0.3009	0.3327	0.9767	0.2372	0.4462	0.1217	0.0094	0.0004	0.0725	0.1572	2239
10	21098	6.1427	1.7839	4.1922	0.3333	0.3112	0.3509	0.9717	0.2302	0.4321	0.1245	0.0090	0.0000	0.0683	0.1516	2463
11	23016	6.0300	1.7515	4.1117	0.3335	0.3210	0.3606	0.9662	0.2340	0.4294	0.1362	0.0133	0.0004	0.0714	0.1530	2689
12	24934	5.9295	1.7297	4.0339	0.3319	0.3276	0.3523	0.9603	0.2294	0.4391	0.1202	0.0098	0.0000	0.0698	0.1555	2916
